#K-Path     Band-1    Band-2    Band-3    Band-4      ...     Band-n
  0.0000  -22.0474   -8.8547   -4.0125   -4.0125    3.4696    4.5997    5.4075    9.2351
  0.0313  -22.0445   -8.8512   -4.0246   -4.0188    3.4733    4.6034    5.4111    9.2361
  0.0625  -22.0357   -8.8404   -4.0606   -4.0376    3.4843    4.6143    5.4221    9.2394
  0.0938  -22.0211   -8.8226   -4.1203   -4.0685    3.5026    4.6326    5.4405    9.2443
  0.1251  -22.0007   -8.7975   -4.2029   -4.1113    3.5283    4.6582    5.4661    9.2506
  0.1564  -21.9745   -8.7654   -4.3078   -4.1653    3.5613    4.6912    5.4991    9.2574
  0.1876  -21.9425   -8.7261   -4.4339   -4.2298    3.6016    4.7314    5.5394    9.2638
  0.2189  -21.9046   -8.6797   -4.5801   -4.3042    3.6492    4.7790    5.5870    9.2691
  0.2502  -21.8610   -8.6262   -4.7453   -4.3874    3.7042    4.8338    5.6420    9.2724
  0.2814  -21.8115   -8.5656   -4.9280   -4.4786    3.7666    4.8959    5.7043    9.2731
  0.3127  -21.7563   -8.4979   -5.1271   -4.5769    3.8362    4.9654    5.7740    9.2704
  0.3440  -21.6953   -8.4232   -5.3411   -4.6814    3.9132    5.0421    5.8510    9.2638
  0.3753  -21.6285   -8.3415   -5.5687   -4.7911    3.9975    5.1260    5.9353    9.2528
  0.4065  -21.5559   -8.2527   -5.8086   -4.9051    4.0892    5.2172    6.0269    9.2374
  0.4378  -21.4776   -8.1570   -6.0597   -5.0226    4.1882    5.3157    6.1259    9.2175
  0.4691  -21.3936   -8.0544   -6.3206   -5.1428    4.2945    5.4213    6.2322    9.1932
  0.5003  -21.3038   -7.9448   -6.5903   -5.2649    4.4081    5.5341    6.3458    9.1648
  0.5316  -21.2084   -7.8284   -6.8676   -5.3881    4.5290    5.6541    6.4667    9.1325
  0.5629  -21.1072   -7.7052   -7.1517   -5.5119    4.6573    5.7811    6.5949    9.0968
  0.5942  -21.0004   -7.5753   -7.4415   -5.6355    4.7929    5.9150    6.7304    9.0582
  0.6254  -20.8880   -7.7363   -7.4387   -5.7585    4.9357    6.0558    6.8731    9.0171
  0.6567  -20.7699   -8.0351   -7.2956   -5.8803    5.0859    6.2032    7.0231    9.1298
  0.6880  -20.6463   -8.3372   -7.1460   -6.0003    5.2433    6.3568    7.1804    8.8233
